Time,City_Name,Healthy,Zombies,Dead,Civil,Military,Medics
1683570855.482414,Nogales Village,391,8,0,364,19,8
1683570855.4834132,Mackers City,547,34,0,503,32,12
1683570855.4954,Gulans Town,372,11,0,345,15,12
1683570855.5024102,Zeidel Borough,348,19,38,316,20,12
1683570855.508405,Albono Hills,174,8,0,165,6,3
1683570855.6067827,Nogales Village,391,8,0,364,19,8
1683570855.6077924,Mackers City,546,35,0,502,32,12
1683570855.608782,Gulans Town,372,11,0,345,15,12
1683570855.6298451,Zeidel Borough,348,19,38,316,20,12
1683570855.6298451,Albono Hills,174,8,0,165,6,3
1683570855.7323062,Mackers City,546,35,0,502,32,12
1683570855.734309,Nogales Village,391,8,0,364,19,8
1683570855.734309,Gulans Town,372,11,0,345,15,12
1683570855.74741,Albono Hills,174,8,0,165,6,3
1683570855.74741,Zeidel Borough,348,19,38,316,20,12
1683570855.8412347,Nogales Village,391,8,0,364,19,8
1683570855.8472438,Mackers City,546,35,0,502,32,12
1683570855.8572557,Gulans Town,372,11,0,345,15,12
1683570855.859253,Albono Hills,174,8,0,165,6,3
1683570855.8722477,Zeidel Borough,348,19,38,316,20,12
1683570855.9674149,Nogales Village,391,8,0,364,19,8
1683570855.9684095,Mackers City,542,39,0,498,32,12
1683570855.9784043,Gulans Town,372,11,0,345,15,12
1683570855.9824066,Albono Hills,173,9,0,164,6,3
1683570855.9834044,Zeidel Borough,348,19,38,316,20,12
1683570856.0911877,Mackers City,541,40,0,497,32,12
1683570856.0911877,Nogales Village,391,8,0,364,19,8
1683570856.1076543,Gulans Town,372,11,0,345,15,12
1683570856.1086464,Albono Hills,173,9,0,164,6,3
1683570856.1086464,Zeidel Borough,348,19,38,316,20,12
1683570856.217262,Nogales Village,391,8,0,364,19,8
1683570856.217262,Mackers City,540,41,0,496,32,12
1683570856.2346256,Gulans Town,372,11,0,345,15,12
1683570856.2346256,Zeidel Borough,348,19,38,316,20,12
1683570856.2360554,Albono Hills,173,9,0,164,6,3
1683570856.34015,Mackers City,540,41,0,496,32,12
1683570856.3411562,Nogales Village,391,8,0,364,19,8
1683570856.355511,Albono Hills,173,9,0,164,6,3
1683570856.3565016,Gulans Town,372,11,0,345,15,12
1683570856.3565016,Zeidel Borough,348,19,38,316,20,12
1683570856.4500036,Mackers City,539,42,0,495,32,12
1683570856.465261,Albono Hills,173,9,0,164,6,3
1683570856.46626,Nogales Village,391,8,0,364,19,8
1683570856.4812725,Gulans Town,372,11,0,345,15,12
1683570856.4848595,Zeidel Borough,348,19,38,316,20,12
1683570856.5750668,Albono Hills,173,9,0,164,6,3
1683570856.5797231,Mackers City,539,42,0,495,32,12
1683570856.589716,Nogales Village,391,8,0,364,19,8
1683570856.5936935,Gulans Town,372,11,0,345,15,12
1683570856.6058826,Zeidel Borough,348,19,38,316,20,12
1683570856.6988952,Nogales Village,391,8,0,364,19,8
1683570856.6999025,Mackers City,538,43,0,494,32,12
1683570856.7071655,Albono Hills,173,9,0,164,6,3
1683570856.713202,Gulans Town,372,11,0,345,15,12
1683570856.7311954,Zeidel Borough,348,19,38,316,20,12
1683570856.8087463,Nogales Village,391,8,0,364,19,8
1683570856.8237422,Mackers City,537,44,0,493,32,12
1683570856.8247468,Gulans Town,372,11,0,345,15,12
1683570856.8287601,Albono Hills,172,10,0,163,6,3
1683570856.855353,Zeidel Borough,348,19,38,316,20,12
1683570856.932333,Nogales Village,391,8,0,364,19,8
1683570856.9474459,Mackers City,535,46,0,491,32,12
1683570856.9484437,Gulans Town,371,12,0,345,14,12
1683570856.9535246,Albono Hills,172,10,0,163,6,3
1683570856.9785206,Zeidel Borough,348,19,38,316,20,12
1683570857.0435927,Nogales Village,391,8,0,364,19,8
1683570857.0585716,Mackers City,535,46,0,491,32,12
1683570857.0625827,Gulans Town,371,12,0,345,14,12
1683570857.073568,Albono Hills,172,10,0,163,6,3
1683570857.0895882,Zeidel Borough,348,19,38,316,20,12
1683570857.1679575,Mackers City,534,47,0,490,32,12
1683570857.1729612,Nogales Village,391,8,0,364,19,8
1683570857.1830294,Gulans Town,371,12,0,345,14,12
1683570857.184026,Albono Hills,172,10,0,163,6,3
1683570857.214041,Zeidel Borough,348,19,38,316,20,12
1683570857.2902641,Mackers City,534,47,0,490,32,12
1683570857.2942631,Nogales Village,391,8,0,364,19,8
1683570857.3062587,Gulans Town,370,13,0,344,14,12
1683570857.3072565,Albono Hills,171,11,0,162,6,3
1683570857.3374894,Zeidel Borough,348,19,38,316,20,12
1683570857.4148254,Gulans Town,370,13,0,344,14,12
1683570857.4188652,Albono Hills,171,11,0,162,6,3
1683570857.4198806,Nogales Village,391,8,0,364,19,8
1683570857.4208875,Mackers City,532,49,0,489,31,12
1683570857.445027,Zeidel Borough,348,19,38,316,20,12
1683570857.5245657,Gulans Town,370,13,0,344,14,12
1683570857.5413737,Albono Hills,171,11,0,162,6,3
1683570857.5423586,Mackers City,532,49,0,489,31,12
1683570857.5453722,Nogales Village,391,8,0,364,19,8
1683570857.5581532,Zeidel Borough,348,19,38,316,20,12
1683570857.6337883,Gulans Town,370,13,0,344,14,12
1683570857.665985,Nogales Village,391,8,0,364,19,8
1683570857.6669717,Albono Hills,171,11,0,162,6,3
1683570857.6669717,Mackers City,532,49,0,489,31,12
1683570857.6839685,Zeidel Borough,348,19,38,316,20,12
1683570857.7443137,Gulans Town,370,13,0,344,14,12
1683570857.7899804,Nogales Village,391,8,0,364,19,8
1683570857.7909808,Mackers City,532,49,0,489,31,12
1683570857.7979438,Albono Hills,171,11,0,162,6,3
1683570857.8069203,Zeidel Borough,348,19,38,316,20,12
1683570857.8681953,Gulans Town,370,13,0,344,14,12
1683570857.9141963,Albono Hills,171,11,0,162,6,3
1683570857.9141963,Mackers City,532,49,0,489,31,12
1683570857.9151933,Nogales Village,391,8,0,364,19,8
1683570857.9301836,Zeidel Borough,348,19,38,316,20,12
1683570857.9921865,Gulans Town,369,14,0,343,14,12
1683570858.025189,Albono Hills,171,11,0,162,6,3
1683570858.025189,Mackers City,532,49,0,489,31,12
1683570858.0391836,Nogales Village,391,8,0,364,19,8
1683570858.040188,Zeidel Borough,348,19,38,316,20,12
1683570858.1012034,Gulans Town,369,14,0,343,14,12
1683570858.1471863,Mackers City,531,50,0,488,31,12
1683570858.148187,Albono Hills,171,11,0,162,6,3
1683570858.163191,Nogales Village,391,8,0,364,19,8
1683570858.164195,Zeidel Borough,348,19,38,316,20,12
1683570858.2261853,Gulans Town,369,14,0,343,14,12
1683570858.271185,Albono Hills,171,11,0,162,6,3
1683570858.272193,Mackers City,531,50,0,488,31,12
1683570858.2871885,Nogales Village,391,8,0,364,19,8
1683570858.2871885,Zeidel Borough,347,20,38,315,20,12
1683570858.3481846,Gulans Town,368,15,0,342,14,12
1683570858.3931859,Albono Hills,169,13,0,161,6,2
1683570858.3941963,Mackers City,530,45,6,487,31,12
1683570858.4092145,Nogales Village,390,9,0,363,19,8
1683570858.412209,Zeidel Borough,346,21,38,314,20,12
1683570858.4577363,Gulans Town,368,15,0,342,14,12
1683570858.50246,Albono Hills,169,13,0,161,6,2
1683570858.5184674,Mackers City,529,46,6,486,31,12
1683570858.5194652,Nogales Village,390,9,0,363,19,8
1683570858.5354419,Zeidel Borough,345,22,38,313,20,12
1683570858.58251,Gulans Town,368,15,0,342,14,12
1683570858.6125183,Albono Hills,169,13,0,161,6,2
1683570858.6271212,Mackers City,527,48,6,484,31,12
1683570858.6432135,Nogales Village,390,9,0,363,19,8
1683570858.6588938,Zeidel Borough,344,23,38,312,20,12
1683570858.7059765,Gulans Town,368,15,0,342,14,12
1683570858.7360675,Albono Hills,169,13,0,161,6,2
1683570858.7360675,Mackers City,527,48,6,484,31,12
1683570858.7521482,Nogales Village,390,9,0,363,19,8
1683570858.7681496,Zeidel Borough,343,24,38,311,20,12
1683570858.815617,Gulans Town,368,15,0,342,14,12
1683570858.8477552,Albono Hills,169,13,0,161,6,2
1683570858.8628092,Nogales Village,390,9,0,363,19,8
1683570858.8648052,Mackers City,527,48,6,484,31,12
1683570858.8785496,Zeidel Borough,343,24,38,311,20,12
1683570858.9240112,Gulans Town,368,15,0,342,14,12
1683570858.9554062,Albono Hills,169,13,0,161,6,2
1683570858.9718428,Nogales Village,390,9,0,363,19,8
1683570858.9868221,Mackers City,527,48,6,484,31,12
1683570859.0028458,Zeidel Borough,343,24,38,311,20,12
1683570859.0318203,Gulans Town,368,15,0,342,14,12
1683570859.0638459,Albono Hills,169,13,0,161,6,2
1683570859.096833,Nogales Village,389,10,0,362,19,8
1683570859.0978453,Mackers City,527,48,6,484,31,12
1683570859.1271906,Zeidel Borough,341,26,38,309,20,12
1683570859.141911,Gulans Town,367,16,0,341,14,12
1683570859.1904364,Albono Hills,169,13,0,161,6,2
1683570859.2214773,Mackers City,527,48,6,484,31,12
1683570859.2224724,Nogales Village,389,10,0,362,19,8
1683570859.237459,Zeidel Borough,341,26,38,309,20,12
1683570859.2514834,Gulans Town,367,16,0,341,14,12
1683570859.3148553,Albono Hills,169,13,0,161,6,2
1683570859.3454642,Nogales Village,389,10,0,362,19,8
1683570859.3484795,Mackers City,526,49,6,483,31,12
1683570859.360292,Zeidel Borough,341,26,38,309,20,12
1683570859.3642962,Gulans Town,367,16,0,341,14,12
1683570859.4386644,Albono Hills,169,13,0,161,6,2
1683570859.4551547,Nogales Village,389,10,0,362,19,8
1683570859.4711585,Mackers City,523,52,6,480,31,12
1683570859.4711585,Zeidel Borough,341,26,38,309,20,12
1683570859.4872434,Gulans Town,367,16,0,341,14,12
1683570859.5479922,Albono Hills,169,13,0,161,6,2
1683570859.5775528,Nogales Village,388,11,0,361,19,8
1683570859.5950766,Zeidel Borough,338,29,38,307,19,12
1683570859.5990152,Mackers City,523,52,6,480,31,12
1683570859.6096117,Gulans Town,367,16,0,341,14,12
1683570859.6722422,Albono Hills,169,13,0,161,6,2
1683570859.6873717,Nogales Village,387,12,0,360,19,8
1683570859.7182612,Zeidel Borough,337,30,38,306,19,12
1683570859.7192624,Gulans Town,367,16,0,341,14,12
1683570859.7192624,Mackers City,519,56,6,476,31,12
1683570859.7965693,Albono Hills,169,13,0,161,6,2
1683570859.8117,Nogales Village,386,13,0,359,19,8
